Runtime,Released_Year,IMDB_Rating,Meta_score,No_of_Votes,Gross
106.0,2016.0,7.9,79.0,85109,3237118.0
130.0,2017.0,7.9,74.0,587775,315058289.0
117.0,2014.0,7.9,76.0,466134,32381218.0
108.0,2019.0,7.9,58.0,297918,349555.0
116.0,2016.0,7.9,81.0,594181,100546139.0
138.0,2015.0,7.9,80.0,860823,936662225.0
109.0,2013.0,7.9,94.0,141457,8114627.0
132.0,2014.0,7.9,75.0,659763,233921534.0
157.0,2011.0,7.9,82.0,41995,138730.0
100.0,2011.0,7.9,89.0,230624,44671682.0
113.0,2014.0,7.9,71.0,600004,100206256.0
127.0,2012.0,7.9,94.0,93090,6739492.0
209.0,2019.0,7.9,94.0,324720,7000000.0
155.0,2009.0,7.9,90.0,93560,2084637.0
97.0,2009.0,7.9,67.0,335152,5009677.0
114.0,2008.0,7.9,82.0,205609,2122065.0
112.0,2009.0,7.9,81.0,638202,115646235.0
109.0,2008.0,7.9,80.0,289415,26236603.0
165.0,2014.0,7.9,100.0,335533,25379975.0
113.0,2007.0,7.9,97.0,56625,1185783.0
127.0,2009.0,7.9,82.0,577336,257730019.0
107.0,2008.0,7.9,67.0,390334,7757130.0
141.0,2006.0,7.9,89.0,154011,13756082.0
117.0,2006.0,7.9,64.0,107290,2280348.0
127.0,2012.0,7.9,79.0,580708,124987023.0
87.0,2009.0,7.9,83.0,199696,21002919.0
97.0,2004.0,7.9,56.0,57430,3635164.0
126.0,2008.0,7.9,79.0,939644,318412101.0
99.0,2004.0,7.9,76.0,512249,13542874.0
138.0,2003.0,7.9,84.0,419420,90135191.0
142.0,2004.0,7.9,82.0,552493,249358727.0
120.0,2002.0,7.9,85.0,173999,53710019.0
112.0,2002.0,7.9,86.0,104691,9284265.0
98.0,2001.0,7.9,84.0,44618,1059830.0
115.0,2001.0,7.9,61.0,42897,1000045.0
119.0,2002.0,7.9,68.0,508771,121661683.0
114.0,2000.0,7.9,80.0,49721,1221261.0
109.0,2006.0,7.9,84.0,465113,35552383.0
122.0,2000.0,7.9,90.0,252586,32534850.0
147.0,2001.0,7.9,85.0,322031,7220243.0
92.0,1999.0,7.9,88.0,527512,245852179.0
155.0,1997.0,7.9,85.0,239473,26400640.0
102.0,1994.0,7.9,77.0,31590,2201126.0
119.0,1993.0,7.9,59.0,206918,12281500.0
94.0,1993.0,7.9,85.0,89836,1324974.0
144.0,1993.0,7.9,65.0,201000,36948322.0
105.0,1990.0,7.9,74.0,447368,56362352.0
103.0,1989.0,7.9,97.0,68076,14743391.0
104.0,1989.0,7.9,77.0,54670,18254702.0
119.0,1987.0,7.9,79.0,281842,76270454.0
107.0,1986.0,7.9,90.0,67176,40084041.0
132.0,1985.0,7.9,84.0,187567,9929135.0
82.0,1984.0,7.9,92.0,128812,188751.0
93.0,1983.0,7.9,77.0,132947,20605209.0
133.0,1980.0,7.9,60.0,183182,57229890.0
96.0,1979.0,7.9,83.0,131436,45700000.0
123.0,1979.0,7.9,72.0,28223,37823676.0
127.0,1978.0,7.9,71.0,111512,5100000.0
138.0,1976.0,7.9,84.0,103031,70600000.0
114.0,1973.0,7.9,76.0,37183,61001.0
102.0,1972.0,7.9,93.0,38737,198809.0
172.0,1970.0,7.9,91.0,93741,61700000.0
145.0,1969.0,7.9,97.0,77401,12064472.0
96.0,1968.0,7.9,89.0,116557,89029.0
110.0,1967.0,7.9,75.0,67804,24379978.0
113.0,1963.0,7.9,83.0,68689,13474588.0
197.0,1960.0,7.9,87.0,124339,30000000.0
85.0,1952.0,7.9,89.0,97222,9450000.0
101.0,1951.0,7.9,88.0,123341,7630000.0
96.0,1947.0,7.9,88.0,41625,2650000.0
102.0,1946.0,7.9,100.0,92306,10464000.0
102.0,1938.0,7.9,97.0,47175,3981000.0
100.0,1933.0,7.9,90.0,78991,10000000.0
124.0,2016.0,7.8,85.0,51240,2402067.0
